generation,strength,agility,expertise,resistance,life,height,characterType,performance,performance_relative,performance_accumulated
1,26,50,9,62,3,1.4,CharacterType.ARCHER,136.16633466632078,0.002512997626440665,0.9168681670491654
1,8,54,51,22,15,1.3,CharacterType.ARCHER,135.67576691647537,0.002503944025974802,0.9193721110751402
1,8,45,44,14,39,1.8,CharacterType.ARCHER,135.29180062610806,0.0024968577929591978,0.9218689688680993
1,30,70,4,7,39,2.0,CharacterType.ARCHER,133.95668609384032,0.0024722177844076192,0.924341186652507
1,12,10,30,7,91,1.5,CharacterType.ARCHER,131.83606444230736,0.0024330809655313517,0.9267742676180383
1,30,25,10,36,49,1.3,CharacterType.ARCHER,126.1215937226742,0.0023276183973422802,0.9291018860153806
1,5,53,84,4,4,1.5,CharacterType.ARCHER,124.57507939703281,0.0022990769312073722,0.9314009629465879
1,5,48,84,8,5,1.5,CharacterType.ARCHER,123.99195328989568,0.0022883151336842017,0.9336892780802721
1,9,67,33,27,14,1.4,CharacterType.ARCHER,122.81622926235671,0.0022666167329907045,0.9359558948132628
1,69,5,6,3,67,1.3,CharacterType.ARCHER,122.58156102490595,0.002262285848083213,0.938218180661346
1,5,7,89,38,11,1.4,CharacterType.ARCHER,121.10444315899876,0.002235025118034966,0.940453205779381
1,32,80,1,15,22,1.4,CharacterType.ARCHER,120.09066127602112,0.0022163154166106426,0.9426695211959916
1,5,42,81,16,6,1.7,CharacterType.ARCHER,119.16407178385461,0.002199214881443816,0.9448687360774354
1,7,24,51,65,3,2.0,CharacterType.ARCHER,116.31415065571376,0.002146618584068908,0.9470153546615043
1,6,56,56,28,4,1.6,CharacterType.ARCHER,113.51411769181932,0.0020949429903219996,0.9491102976518263
1,98,22,1,9,20,1.5,CharacterType.ARCHER,111.58953570243293,0.0020594241524016696,0.951169721804228
1,10,22,28,18,72,1.8,CharacterType.ARCHER,111.16769337611197,0.0020516389038130627,0.9532213607080411
1,10,24,31,83,2,1.8,CharacterType.ARCHER,110.8013687292327,0.0020448782535365446,0.9552662389615776
1,6,5,55,56,28,1.7,CharacterType.ARCHER,107.41863850223339,0.0019824487767340017,0.9572486877383116
1,13,36,19,71,11,1.4,CharacterType.ARCHER,103.57857991792667,0.001911579144152618,0.9591602668824643
1,24,37,9,78,2,1.3,CharacterType.ARCHER,102.45642338472085,0.001890869350418715,0.961051136232883
1,22,42,9,63,14,1.3,CharacterType.ARCHER,100.81015238889046,0.001860486839828723,0.9629116230727117
1,6,2,50,81,11,1.8,CharacterType.ARCHER,94.53480553448131,0.0017446731051867005,0.9646562961778984
1,9,48,23,31,39,1.8,CharacterType.ARCHER,93.80278317395775,0.0017311633749071487,0.9663874595528056
1,19,68,5,41,17,1.5,CharacterType.ARCHER,90.6495659129796,0.001672969640663601,0.9680604291934691
1,47,18,3,50,32,1.9,CharacterType.ARCHER,89.13159305855902,0.0016449549174244965,0.9697053841108936
1,3,1,117,15,14,1.8,CharacterType.ARCHER,87.55964335949514,0.0016159440325217635,0.9713213281434153
1,7,46,28,28,41,1.3,CharacterType.ARCHER,82.07311173852186,0.0015146881606156533,0.9728360163040309
1,5,11,45,54,35,1.4,CharacterType.ARCHER,81.30123954809065,0.0015004429877010523,0.974336459291732
1,58,16,2,9,65,1.5,CharacterType.ARCHER,79.095845215489,0.0014597416591621384,0.9757962009508941
1,5,56,36,11,42,1.8,CharacterType.ARCHER,78.33967323471786,0.0014457862391420912,0.9772419871900362
1,17,45,7,76,5,1.6,CharacterType.ARCHER,75.04334262455217,0.001384951297674294,0.9786269384877104
1,85,1,3,57,4,1.8,CharacterType.ARCHER,71.55826896162495,0.001320633036744611,0.979947571524455
1,30,5,6,59,50,2.0,CharacterType.ARCHER,68.5325715294801,0.0012647927258194443,0.9812123642502745
1,3,35,68,32,12,1.6,CharacterType.ARCHER,66.58422562758469,0.001228835316530674,0.9824411995668051
1,77,12,1,30,30,2.0,CharacterType.ARCHER,63.70418743027977,0.0011756831980454297,0.9836168827648505
1,3,48,46,15,38,1.7,CharacterType.ARCHER,59.160692942328936,0.0010918314083064589,0.984708714173157
1,8,72,11,17,42,2.0,CharacterType.ARCHER,58.2084824772442,0.0010742580290677964,0.9857829722022248
1,24,23,3,42,58,1.7,CharacterType.ARCHER,53.858896606920766,0.0009939848911081962,0.986776957093333
1,12,31,7,42,58,1.6,CharacterType.ARCHER,50.12285180207498,0.0009250348694316885,0.9877019919627648
1,16,49,2,66,17,1.6,CharacterType.ARCHER,49.232868555687965,0.0009086099154133314,0.9886106018781781
1,55,6,2,83,4,1.6,CharacterType.ARCHER,47.68885394416261,0.000880114582382144,0.9894907164605602
1,10,22,9,43,66,1.4,CharacterType.ARCHER,46.00565789095211,0.0008490506068633956,0.9903397670674235
1,31,9,3,3,104,1.4,CharacterType.ARCHER,44.99484636791187,0.0008303957244770574,0.9911701627919006
1,3,102,31,3,11,1.7,CharacterType.ARCHER,42.97809615678899,0.0007931758895883898,0.991963338681489
1,3,20,32,60,35,1.7,CharacterType.ARCHER,41.67606228621155,0.0007691463962901777,0.9927324850777792
1,3,85,28,20,14,1.8,CharacterType.ARCHER,40.39087790351807,0.0007454278662205999,0.9934779129439998
1,13,23,5,61,48,1.3,CharacterType.ARCHER,39.0483736206976,0.0007206514772219415,0.9941985644212217
1,11,48,3,69,19,1.4,CharacterType.ARCHER,38.178809492198624,0.0007046033652101818,0.9949031677864318
1,2,41,48,52,7,1.8,CharacterType.ARCHER,35.42665438274041,0.0006538113741162505,0.9955569791605481
1,10,51,2,69,18,1.9,CharacterType.ARCHER,33.83120650506884,0.0006243668220577444,0.9961813459826059
1,2,42,30,44,32,1.6,CharacterType.ARCHER,30.30818704695403,0.0005593482581238459,0.9967406942407298
1,2,36,36,62,14,1.6,CharacterType.ARCHER,29.628910350217417,0.0005468119676319364,0.9972875062083617
1,5,99,3,5,38,2.0,CharacterType.ARCHER,26.120137315667318,0.00048205632645858013,0.9977695625348203
1,10,20,4,8,108,1.7,CharacterType.ARCHER,25.874621799639378,0.0004775252512075315,0.9982470877860278
1,1,52,60,22,15,1.9,CharacterType.ARCHER,24.741381645728776,0.00045661090535293187,0.9987036986913808
1,27,9,1,66,47,1.7,CharacterType.ARCHER,24.010247198653808,0.00044311756182855154,0.9991468162532093
1,1,13,33,15,88,1.9,CharacterType.ARCHER,23.028153919791283,0.00042499268474514656,0.9995718089379545
1,2,2,8,102,36,1.3,CharacterType.ARCHER,11.761295530566972,0.00021705884809641111,0.9997888677860509
1,1,110,7,9,23,1.5,CharacterType.ARCHER,7.740730935115212,0.0001428579135549846,0.9999317256996059
1,1,46,3,96,4,1.9,CharacterType.ARCHER,3.699430965914246,6.827430039374498e-05,0.9999999999999997
generation,strength,agility,expertise,resistance,life,height,characterType,performance,performance_relative,performance_accumulated
2,68,10,55,2,15,1.7,CharacterType.ARCHER,973.0839178734942,0.017232108351672278,0.017232108351672278
2,73,12,50,12,3,1.7,CharacterType.ARCHER,951.3401711735321,0.016847053586895273,0.034079161938567554
2,62,15,54,15,4,2.0,CharacterType.ARCHER,925.8579440832908,0.01639579497477006,0.050474956913337615
2,51,27,64,4,4,1.6,CharacterType.ARCHER,903.6535170494875,0.016002582133097097,0.06647753904643472
2,67,8,55,4,16,1.3,CharacterType.ARCHER,883.5625152063119,0.015646795428275344,0.08212433447471007
2,62,7,53,11,17,1.6,CharacterType.ARCHER,869.5283099777696,0.015398267073540695,0.09752260154825076
2,48,14,63,22,3,1.9,CharacterType.ARCHER,869.2191546011202,0.015392792315557265,0.11291539386380803
2,58,30,47,8,7,1.8,CharacterType.ARCHER,830.836353919454,0.01471308055787811,0.12762847442168615
2,66,29,43,2,10,1.6,CharacterType.ARCHER,827.6546267648412,0.014656736119267344,0.1422852105409535
2,58,20,47,2,23,2.0,CharacterType.ARCHER,803.7574978169537,0.014233547627750812,0.1565187581687043
2,58,20,47,2,23,1.5,CharacterType.ARCHER,795.8216436160534,0.014093013500178511,0.1706117716688828
2,67,17,39,17,10,1.9,CharacterType.ARCHER,784.1749279919618,0.013886764622883272,0.18449853629176607
2,49,10,52,11,28,1.7,CharacterType.ARCHER,719.7314310237008,0.012745550281632483,0.19724408657339856
2,81,20,31,13,5,1.4,CharacterType.ARCHER,715.8004216341056,0.012675936984681715,0.2099200235580803
2,46,31,55,8,10,1.3,CharacterType.ARCHER,694.9174954778233,0.01230612628324557,0.22222614984132585
2,76,33,28,12,1,1.8,CharacterType.ARCHER,681.1660149619644,0.012062604632242395,0.23428875447356826
2,48,2,56,27,17,1.3,CharacterType.ARCHER,673.7798670288641,0.011931805120353627,0.2462205595939219
2,28,10,87,13,12,1.5,CharacterType.ARCHER,633.7425961330136,0.01122279474878129,0.25744335434270316
2,61,4,37,8,40,1.7,CharacterType.ARCHER,630.5241207642703,0.011165799544911746,0.2686091538876149
2,60,27,37,5,21,1.3,CharacterType.ARCHER,629.9157614421471,0.011155026256438862,0.2797641801440538
2,38,40,50,16,6,1.4,CharacterType.ARCHER,612.200956099347,0.010841319042200839,0.2906054991862546
2,34,15,70,25,6,1.3,CharacterType.ARCHER,604.0861560649253,0.010697616006032187,0.3013031151922868
2,53,10,36,8,43,1.5,CharacterType.ARCHER,572.3557122762656,0.010135709231734933,0.31143882442402177
2,33,30,54,13,20,2.0,CharacterType.ARCHER,564.9666851318628,0.010004858732587798,0.32144368315660954
2,46,47,39,8,10,1.3,CharacterType.ARCHER,560.5919834111845,0.009927388195183667,0.3313710713517932
2,45,18,39,4,44,1.4,CharacterType.ARCHER,551.8791181575735,0.009773094166327602,0.3411441655181208
2,45,50,33,1,21,1.6,CharacterType.ARCHER,530.741087610665,0.009398765882780076,0.3505429314009009
2,61,2,29,52,6,1.8,CharacterType.ARCHER,507.4129303691508,0.008985653173951112,0.35952858457485204
2,61,2,29,52,6,1.8,CharacterType.ARCHER,507.4129303691508,0.008985653173951112,0.36851423774880315
2,24,5,76,30,15,1.8,CharacterType.ARCHER,504.2882706892271,0.008930319329482472,0.3774445570782856
2,47,59,26,7,11,1.9,CharacterType.ARCHER,504.0329163382666,0.008925797320883833,0.38637035439916945
2,28,3,61,6,52,1.5,CharacterType.ARCHER,497.3606266545288,0.008807639352519523,0.395177993751689
2,30,7,53,11,49,2.0,CharacterType.ARCHER,482.8477155810205,0.008550633711460935,0.4037286274631499
2,57,56,21,14,2,1.4,CharacterType.ARCHER,481.59901411904633,0.008528520758511663,0.4122571482216616
2,54,2,30,37,27,1.8,CharacterType.ARCHER,478.6803854075894,0.008476835466760016,0.42073398368842163
2,34,63,36,2,15,2.0,CharacterType.ARCHER,468.0796553722929,0.008289109695919762,0.4290230933843414
2,37,45,36,24,8,1.3,CharacterType.ARCHER,431.555448898834,0.007642311334700398,0.4366654047190418
2,56,5,28,15,46,1.3,CharacterType.ARCHER,428.5850199836629,0.007589708725637627,0.44425511344467944
2,70,13,20,25,22,1.4,CharacterType.ARCHER,427.01711337461916,0.007561943045744994,0.4518170564904244
2,26,17,54,30,23,1.6,CharacterType.ARCHER,426.27189682243585,0.0075487461856008605,0.4593658026760253
2,49,29,25,42,5,1.4,CharacterType.ARCHER,425.65198409993906,0.007537768300747939,0.4669035709767732
2,24,49,52,12,13,1.6,CharacterType.ARCHER,415.36046130954674,0.007355518206413525,0.4742590891831867
2,111,9,14,11,5,1.9,CharacterType.ARCHER,415.07902152938016,0.007350534257242009,0.48160962344042874
2,56,27,24,39,4,1.3,CharacterType.ARCHER,414.74389013540394,0.007344599496234279,0.488954222936663
2,25,24,57,29,15,1.3,CharacterType.ARCHER,403.84987480268535,0.007151680006815082,0.4961059029434781
2,43,1,31,14,61,1.5,CharacterType.ARCHER,403.82806696421596,0.007151293817064622,0.5032571967605427
2,48,8,27,20,47,1.7,CharacterType.ARCHER,399.9323779550472,0.0070823060002100195,0.5103395027607527
2,63,4,22,43,18,1.7,CharacterType.ARCHER,397.5695109015535,0.007040462557585482,0.5173799653183382
2,51,16,24,27,32,1.6,CharacterType.ARCHER,394.1173143583951,0.006979328441821884,0.5243592937601601
2,50,17,24,21,38,1.6,CharacterType.ARCHER,390.81343563562154,0.006920820850558804,0.5312801146107189
2,28,7,43,14,58,2.0,CharacterType.ARCHER,382.12698200498255,0.006766994538762325,0.5380471091494812
2,27,15,50,44,14,1.3,CharacterType.ARCHER,381.14384663571474,0.006749584431682756,0.5447966935811639
2,39,7,33,27,44,1.3,CharacterType.ARCHER,371.69349502763555,0.006582230434889036,0.5513789240160529
2,18,19,71,24,18,1.7,CharacterType.ARCHER,369.6722506919488,0.006546436706559959,0.5579253607226129
2,97,1,15,20,17,1.5,CharacterType.ARCHER,363.3554988947707,0.00643457487285761,0.5643599355954705
