strength,agility,expertise,resistance,life,height,characterType,performance
64,22,55,1,8,1.9,CharacterType.ARCHER,44.86501686738788
52,51,30,10,7,2.0,CharacterType.ARCHER,41.770300511236904
75,51,10,4,10,1.6,CharacterType.ARCHER,40.64506197031669
94,35,10,4,7,1.8,CharacterType.ARCHER,40.29161302318856
31,74,24,12,9,1.9,CharacterType.ARCHER,35.5999966490218
72,45,2,27,4,1.5,CharacterType.ARCHER,34.74757532293385
42,53,24,29,2,1.8,CharacterType.ARCHER,34.43283628064113
81,30,20,4,15,1.7,CharacterType.ARCHER,33.84764020388022
48,48,16,6,32,1.8,CharacterType.ARCHER,33.829080356250145
52,22,65,2,9,1.6,CharacterType.ARCHER,32.574281258029025
39,29,71,9,2,1.4,CharacterType.ARCHER,31.10264403091405
59,32,17,28,14,2.0,CharacterType.ARCHER,29.888146389186456
37,52,27,3,31,1.5,CharacterType.ARCHER,29.72224710116511
33,94,3,17,3,1.7,CharacterType.ARCHER,29.427190365931605
44,54,13,5,34,1.6,CharacterType.ARCHER,28.91336468564801
42,60,4,43,1,1.5,CharacterType.ARCHER,28.856463694371275
58,20,26,9,37,1.9,CharacterType.ARCHER,28.669663028102192
30,33,73,2,12,1.8,CharacterType.ARCHER,28.30719202078087
47,28,33,26,16,2.0,CharacterType.ARCHER,28.156476217984057
39,60,5,43,3,1.5,CharacterType.ARCHER,27.381252226825644
64,38,4,36,8,1.7,CharacterType.ARCHER,27.071561219537305
37,53,14,17,29,1.5,CharacterType.ARCHER,26.806319349758027
46,14,46,28,16,1.9,CharacterType.ARCHER,26.805582728418294
80,29,7,19,15,1.6,CharacterType.ARCHER,26.318379811637065
40,60,4,35,11,1.6,CharacterType.ARCHER,26.135653136070257
26,76,13,4,31,1.8,CharacterType.ARCHER,25.57763203288719
40,29,36,33,12,1.4,CharacterType.ARCHER,24.60284748203768
41,11,61,22,15,1.8,CharacterType.ARCHER,24.17237428886871
44,25,31,16,34,1.4,CharacterType.ARCHER,23.82838195489398
85,12,16,33,4,1.9,CharacterType.ARCHER,22.823169213882586
73,40,11,5,21,1.3,CharacterType.ARCHER,22.774541811950304
27,56,15,13,39,1.5,CharacterType.ARCHER,21.23462347628854
24,58,7,52,9,1.9,CharacterType.ARCHER,20.714886146041323
22,42,32,17,37,1.9,CharacterType.ARCHER,20.302825150847244
50,23,18,25,34,1.7,CharacterType.ARCHER,20.14052406628989
31,20,47,3,49,2.0,CharacterType.ARCHER,19.999552997005598
20,79,10,35,6,1.8,CharacterType.ARCHER,19.805313958439076
48,34,2,41,25,1.7,CharacterType.ARCHER,19.659120970536293
50,10,34,39,17,2.0,CharacterType.ARCHER,19.4319820929925
40,39,38,16,17,1.3,CharacterType.ARCHER,19.060251551536442
63,21,4,14,48,1.8,CharacterType.ARCHER,18.50109494960688
47,26,12,7,58,1.7,CharacterType.ARCHER,18.3247770524229
22,55,12,47,14,2.0,CharacterType.ARCHER,17.433857197750456
19,79,1,27,24,1.5,CharacterType.ARCHER,16.812907519890533
49,32,18,23,28,1.3,CharacterType.ARCHER,16.70579579417006
36,8,36,15,55,1.9,CharacterType.ARCHER,16.581307189248314
17,68,20,20,25,1.4,CharacterType.ARCHER,16.21654430558064
73,2,28,24,23,1.4,CharacterType.ARCHER,15.703188339535899
18,26,64,6,36,1.5,CharacterType.ARCHER,15.130680185308423
31,26,21,53,19,1.6,CharacterType.ARCHER,15.02618524537115
33,13,25,46,33,1.9,CharacterType.ARCHER,14.931175125243989
32,20,27,66,5,1.5,CharacterType.ARCHER,14.628065020994686
57,32,1,24,36,1.3,CharacterType.ARCHER,14.447845972734626
84,16,15,24,11,1.3,CharacterType.ARCHER,14.283499910294928
45,3,34,19,49,1.5,CharacterType.ARCHER,14.216185532610329
40,23,6,36,45,1.7,CharacterType.ARCHER,14.016382701996443
37,30,21,32,30,1.3,CharacterType.ARCHER,13.885875456675377
18,9,85,8,30,2.0,CharacterType.ARCHER,13.566683513051327
54,8,43,38,7,1.3,CharacterType.ARCHER,13.519421109068126
19,6,97,5,23,1.7,CharacterType.ARCHER,12.985855212333806
13,86,2,42,7,1.8,CharacterType.ARCHER,12.919758929507266
32,12,24,50,32,2.0,CharacterType.ARCHER,12.761585378031194
22,6,72,31,19,1.6,CharacterType.ARCHER,12.679155504628408
23,27,18,59,23,1.5,CharacterType.ARCHER,12.36271042521102
16,17,80,16,21,1.7,CharacterType.ARCHER,12.320178123731868
36,23,5,72,14,1.7,CharacterType.ARCHER,11.842246588514593
13,42,23,12,60,1.9,CharacterType.ARCHER,11.62838780328777
41,5,38,29,37,1.3,CharacterType.ARCHER,11.21930561463957
31,14,50,49,6,1.3,CharacterType.ARCHER,10.789380492428858
15,1,87,15,32,1.8,CharacterType.ARCHER,10.560561830258825
27,15,43,46,19,1.3,CharacterType.ARCHER,10.361802952985059
19,17,27,45,42,1.4,CharacterType.ARCHER,10.355500983212032
70,7,7,43,23,2.0,CharacterType.ARCHER,10.134062750676764
25,34,8,30,53,1.3,CharacterType.ARCHER,10.054016422033065
45,23,4,12,66,1.3,CharacterType.ARCHER,9.835596042391288
15,13,47,37,38,1.6,CharacterType.ARCHER,9.632788748410249
9,49,38,23,31,1.8,CharacterType.ARCHER,9.614642481341777
70,6,16,15,43,1.3,CharacterType.ARCHER,9.145893410754853
8,50,40,8,44,2.0,CharacterType.ARCHER,8.710269640306072
11,22,48,12,57,1.6,CharacterType.ARCHER,8.708603355059571
43,6,12,63,26,1.4,CharacterType.ARCHER,8.578777897338691
18,21,10,16,85,1.9,CharacterType.ARCHER,8.475873766960856
13,3,53,21,60,1.8,CharacterType.ARCHER,8.31793773458088
14,12,33,45,46,1.6,CharacterType.ARCHER,8.265463053346561
10,31,28,29,52,1.7,CharacterType.ARCHER,8.090651300111727
29,7,16,84,14,1.9,CharacterType.ARCHER,7.9944675786984565
9,66,24,49,2,1.6,CharacterType.ARCHER,7.919206513977327
11,23,26,14,76,1.9,CharacterType.ARCHER,7.84203292125961
6,83,33,17,11,1.8,CharacterType.ARCHER,7.593426193358731
7,80,6,30,27,1.8,CharacterType.ARCHER,7.588696428355602
7,40,30,19,54,1.5,CharacterType.ARCHER,6.914594025107956
7,27,88,10,18,1.6,CharacterType.ARCHER,6.870242744284994
6,31,64,6,43,1.8,CharacterType.ARCHER,6.852456803038973
8,31,26,51,34,1.4,CharacterType.ARCHER,6.8361218902644465
29,10,15,94,2,1.7,CharacterType.ARCHER,6.714269544036908
31,16,2,95,6,1.6,CharacterType.ARCHER,6.698951536831282
6,58,22,34,30,1.4,CharacterType.ARCHER,6.459730176033839
10,7,70,56,7,1.5,CharacterType.ARCHER,6.223427846929713
6,17,41,20,66,1.7,CharacterType.ARCHER,5.78301923193648
2,6,11,47,84,1.3,CharacterType.ARCHER,5.74643408428839
7,10,107,20,6,1.5,CharacterType.ARCHER,5.611171998694169
6,56,37,46,5,1.6,CharacterType.ARCHER,5.57299371214925
14,7,18,83,28,1.7,CharacterType.ARCHER,5.458341504238149
6,35,41,58,10,1.8,CharacterType.ARCHER,5.440076383901644
10,18,75,41,6,1.3,CharacterType.ARCHER,5.233461775936291
11,8,7,48,76,1.5,CharacterType.ARCHER,5.051037216956915
5,42,84,3,16,1.3,CharacterType.ARCHER,4.379960591447838
12,3,36,96,3,1.4,CharacterType.ARCHER,3.950809937576793
2,30,19,52,47,2.0,CharacterType.ARCHER,3.67744723759133
3,105,3,24,15,2.0,CharacterType.ARCHER,3.6156316727610895
3,55,4,17,71,1.7,CharacterType.ARCHER,3.2646026866076916
9,12,13,106,10,2.0,CharacterType.ARCHER,3.247358844063853
7,24,2,109,8,1.9,CharacterType.ARCHER,3.16282972554984
2,69,14,25,40,1.4,CharacterType.ARCHER,3.088767612584504
6,8,25,97,14,1.9,CharacterType.ARCHER,3.075988220228602
4,88,30,25,3,1.3,CharacterType.ARCHER,3.042503542102533
3,17,94,28,8,1.6,CharacterType.ARCHER,2.864059142540964
1,10,11,26,102,1.4,CharacterType.ARCHER,2.8482158941525775
4,29,91,22,4,1.3,CharacterType.ARCHER,2.7205474626760475
4,39,23,79,5,1.3,CharacterType.ARCHER,2.2705701773809333
