strength,agility,expertise,resistance,life,height,characterType,performance,generation
45,56,18,10,21,1.7,CharacterType.ARCHER,32.23484869136724,1
69.0,36.0,9.0,32.0,2.0,1.9,CharacterType.ARCHER,36.567282736435935,2
53.0,55.0,12.0,6.0,22.0,1.8,CharacterType.ARCHER,38.62763518703249,3
63.0,57.0,3.0,5.0,20.0,1.9,CharacterType.ARCHER,45.64344768374304,4
70.0,72.0,0.0,3.0,3.0,1.5,CharacterType.ARCHER,48.24574522853796,5
60.0,60.0,24.0,2.0,2.0,2.0,CharacterType.ARCHER,49.21356082279716,6
61.0,68.0,7.0,5.0,6.0,1.9,CharacterType.ARCHER,52.77666365032202,7
63.0,71.0,5.0,9.0,0.0,1.9,CharacterType.ARCHER,54.69691220767758,8
63.0,71.0,5.0,9.0,0.0,1.9,CharacterType.ARCHER,54.69691220767758,9
63.0,71.0,5.0,9.0,0.0,1.9,CharacterType.ARCHER,54.69691220767758,10
63.0,71.0,5.0,9.0,0.0,1.9,CharacterType.ARCHER,54.69691220767758,11
65.0,75.0,5.0,1.0,1.0,1.9,CharacterType.ARCHER,58.17518062774089,12
69.0,76.0,0.0,2.0,0.0,1.9,CharacterType.ARCHER,58.649479837326,13
65.0,79.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.206317636667706,14
71.0,74.0,0.0,1.0,1.0,1.9,CharacterType.ARCHER,58.78061151410993,15
69.0,75.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.849441894601746,16
69.0,75.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.849441894601746,17
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066,18
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066,19
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066,20
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066,21
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066,22
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066,23
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066,24
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066,25
76.0,73.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311,26
70.0,78.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,60.90586806933046,27
70.0,78.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,60.90586806933046,28
72.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,29
73.0,73.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.67924389379848,30
70.0,79.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.43312164145954,31
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,32
76.0,71.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.071367527508514,33
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,34
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,35
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,36
80.0,70.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.39871939409765,37
80.0,70.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.39871939409765,38
