strength,agility,expertise,resistance,life,height,characterType,performance
7,23,28,77,15,1.8,CharacterType.ARCHER,4.927119194234624
5,17,56,49,23,1.8,CharacterType.ARCHER,4.920953514682651
4,4,17,64,61,1.6,CharacterType.ARCHER,4.888097523739536
6,23,23,74,24,2.0,CharacterType.ARCHER,4.726799718087708
4,52,2,42,50,1.3,CharacterType.ARCHER,4.609869468475249
4,79,19,33,15,1.6,CharacterType.ARCHER,4.458840120022135
1,6,8,65,70,1.7,CharacterType.ARCHER,4.401033194951802
7,6,2,75,60,1.5,CharacterType.ARCHER,4.343043486882014
6,5,24,21,94,1.7,CharacterType.ARCHER,4.322038620723727
3,55,46,9,37,2.0,CharacterType.ARCHER,4.302502755587662
5,57,15,10,63,1.3,CharacterType.ARCHER,4.127675095700253
3,12,86,20,29,1.3,CharacterType.ARCHER,4.08292432268451
4,6,102,19,19,2.0,CharacterType.ARCHER,4.036200879368258
9,6,24,93,18,1.8,CharacterType.ARCHER,3.99348894714542
16,23,8,101,2,1.3,CharacterType.ARCHER,3.7650642789154505
5,66,50,26,3,1.3,CharacterType.ARCHER,3.7023870452876086
3,37,2,57,51,1.9,CharacterType.ARCHER,3.66217354409767
4,14,65,58,9,1.9,CharacterType.ARCHER,3.570352697510601
2,23,23,66,36,1.4,CharacterType.ARCHER,3.567319384763178
9,12,12,8,109,2.0,CharacterType.ARCHER,3.5225784337898887
1,21,38,42,48,1.8,CharacterType.ARCHER,3.234396671076546
1,26,16,58,49,1.8,CharacterType.ARCHER,3.1924649801587304
123,1,3,20,3,1.6,CharacterType.ARCHER,2.9162724911604476
2,97,10,19,22,1.8,CharacterType.ARCHER,2.750274794467944
2,42,44,48,14,1.7,CharacterType.ARCHER,2.6801426848663774
2,43,53,40,12,1.5,CharacterType.ARCHER,2.653750134993226
7,13,8,6,116,1.9,CharacterType.ARCHER,2.602614720651994
76,45,10,2,17,1.9,CharacterType.ARCHER,47.35214284683012
47,63,15,10,15,1.9,CharacterType.ARCHER,43.626070211398215
77,57,1,8,7,1.4,CharacterType.ARCHER,43.48456286269644
51,41,53,1,4,1.5,CharacterType.ARCHER,41.45322407109381
43,68,10,20,9,1.9,CharacterType.ARCHER,40.57339036661139
67,19,54,7,3,2.0,CharacterType.ARCHER,38.295848910672014
71,43,4,12,20,1.8,CharacterType.ARCHER,36.47778523624373
44,59,5,16,26,1.9,CharacterType.ARCHER,35.814561094667035
92.0,24.0,21.0,9.0,1.0,2.0,CharacterType.ARCHER,35.26822230431537
43,56,15,9,27,2.0,CharacterType.ARCHER,33.15587149252327
54.0,15.0,71.0,0.0,9.0,1.4,CharacterType.ARCHER,33.05487369181502
34,82,17,10,7,1.5,CharacterType.ARCHER,33.03029112461604
62,32,21,24,11,2.0,CharacterType.ARCHER,32.66134510212886
65,42,11,16,16,1.6,CharacterType.ARCHER,32.273153561431904
67,16,46,18,3,1.5,CharacterType.ARCHER,31.675496404229587
93,17,27,2,11,1.4,CharacterType.ARCHER,30.922595668307927
47,43,6,22,32,1.9,CharacterType.ARCHER,30.208751913962207
79,26,14,4,27,1.5,CharacterType.ARCHER,29.115934775069505
30,105,7,3,5,1.6,CharacterType.ARCHER,28.946990450412077
59,18,29,34,10,1.9,CharacterType.ARCHER,28.55649682878107
62,6,61,12,9,1.4,CharacterType.ARCHER,27.84348583649199
60,9,54,15,12,1.5,CharacterType.ARCHER,27.352615317631145
63,5,45,6,31,1.9,CharacterType.ARCHER,26.630119651415562
89,6,39,4,12,1.4,CharacterType.ARCHER,26.22997095801421
31,54,9,47,9,1.9,CharacterType.ARCHER,25.48853858115714
52,26,14,45,13,1.9,CharacterType.ARCHER,25.20682065430495
30,54,38,26,2,1.6,CharacterType.ARCHER,25.045262782522165
