strength,agility,expertise,resistance,life,height,characterType,performance
40,90,2,15,3,1.9,CharacterType.ARCHER,42.373572893617755
67,47,9,11,16,1.8,CharacterType.ARCHER,40.00011926176883
38,68,7,24,13,1.9,CharacterType.ARCHER,35.43775750640214
37,82,13,4,14,1.4,CharacterType.ARCHER,34.473488324569445
40,59,12,5,34,1.8,CharacterType.ARCHER,31.947651648554636
34,69,31,10,6,1.6,CharacterType.ARCHER,30.893969668086154
59,21,49,19,2,1.6,CharacterType.ARCHER,30.712740691665754
49,27,50,19,5,1.7,CharacterType.ARCHER,30.334305877586583
50,30,30,27,13,2.0,CharacterType.ARCHER,29.6447872095991
53,29,36,17,15,1.6,CharacterType.ARCHER,29.25520938579258
43,38,31,1,37,1.5,CharacterType.ARCHER,29.188093644583976
44,51,5,31,19,1.8,CharacterType.ARCHER,29.155761079851576
70,32,13,29,6,1.6,CharacterType.ARCHER,28.429018825581192
59,23,26,2,40,1.8,CharacterType.ARCHER,28.338163923089496
98,15,24,7,6,1.4,CharacterType.ARCHER,28.267598551666193
28,68,26,22,6,2.0,CharacterType.ARCHER,27.63534134613817
53,32,7,16,42,1.9,CharacterType.ARCHER,26.734456809602896
30,50,51,15,4,1.7,CharacterType.ARCHER,26.725993103792636
72,30,6,16,26,1.7,CharacterType.ARCHER,25.27440677480014
75,18,16,36,5,1.8,CharacterType.ARCHER,24.181376781249277
30,25,76,8,11,1.4,CharacterType.ARCHER,24.15449559726414
52,15,29,10,44,1.9,CharacterType.ARCHER,24.142880300801778
32,41,37,1,39,1.6,CharacterType.ARCHER,23.360877800385857
26,73,4,9,38,1.8,CharacterType.ARCHER,23.121040876221407
92,8,25,2,23,1.5,CharacterType.ARCHER,21.698611385817724
34,13,66,31,6,2.0,CharacterType.ARCHER,21.444553635293204
46,8,46,30,20,2.0,CharacterType.ARCHER,20.70209964082099
34,41,14,49,12,1.4,CharacterType.ARCHER,20.582427273610644
36,40,8,2,64,1.4,CharacterType.ARCHER,19.42437746315469
34,14,46,27,29,2.0,CharacterType.ARCHER,19.02929961445535
104,7,20,16,3,1.4,CharacterType.ARCHER,18.946766475679723
62,5,29,47,7,1.9,CharacterType.ARCHER,18.825411443103178
44,23,13,48,22,1.8,CharacterType.ARCHER,18.43709462009717
103,7,21,9,10,1.6,CharacterType.ARCHER,18.338867210392344
