strength,agility,expertise,resistance,life,height,characterType,performance
42,5,8,77,18,1.5,CharacterType.ARCHER,6.339888207689901
47,3,9,13,78,1.8,CharacterType.ARCHER,6.227967389616252
15,3,42,78,12,1.6,CharacterType.ARCHER,6.044882523280405
14,5,21,25,85,1.3,CharacterType.ARCHER,6.044611111328866
6,2,80,7,55,1.7,CharacterType.ARCHER,5.741331207398573
7,7,64,52,20,1.9,CharacterType.ARCHER,5.66076510653235
6,36,5,49,54,1.5,CharacterType.ARCHER,5.44510868385979
3,21,32,37,57,1.3,CharacterType.ARCHER,5.4111579421430855
6,7,48,13,76,1.6,CharacterType.ARCHER,5.3937637712729884
8,57,29,48,8,1.3,CharacterType.ARCHER,5.195069883097494
11,18,10,91,20,1.8,CharacterType.ARCHER,5.08739723888338
5,50,5,57,33,1.7,CharacterType.ARCHER,4.98923292223108
4,41,38,38,29,1.7,CharacterType.ARCHER,4.832358761950151
5,40,22,60,23,1.6,CharacterType.ARCHER,4.819361948848531
8,21,42,76,3,1.7,CharacterType.ARCHER,4.649701733491065
4,13,100,8,25,1.9,CharacterType.ARCHER,4.637482051064088
8,36,54,48,4,1.3,CharacterType.ARCHER,4.601869708573297
3,20,14,64,49,1.6,CharacterType.ARCHER,4.4353648194041195
4,58,5,63,20,1.9,CharacterType.ARCHER,4.308770654526998
5,19,28,9,89,1.4,CharacterType.ARCHER,4.1894874402256
4,25,55,55,11,2.0,CharacterType.ARCHER,3.820056659273193
1,4,42,63,40,1.8,CharacterType.ARCHER,3.305209967325969
3,19,22,6,100,1.4,CharacterType.ARCHER,2.772879113507633
1,48,43,13,45,1.7,CharacterType.ARCHER,2.6353646777118716
1,33,73,5,38,1.5,CharacterType.ARCHER,2.5289279559658113
1,68,55,3,23,2.0,CharacterType.ARCHER,1.9505111462413338
1,14,18,111,6,1.8,CharacterType.ARCHER,0.8667362818390851
