strength,agility,expertise,resistance,life,height,characterType,performance
5.0,31.0,45.0,11.0,56.0,2.0,CharacterType.ARCHER,89.81123064714627
28.0,33.0,4.0,61.0,22.0,2.0,CharacterType.ARCHER,83.98715380677348
7.0,27.0,25.0,12.0,77.0,1.7,CharacterType.ARCHER,75.59800026303157
33.0,3.0,6.0,83.0,23.0,1.7,CharacterType.ARCHER,68.12031223752648
7.0,2.0,25.0,36.0,77.0,1.5,CharacterType.ARCHER,68.09987801699003
53.0,7.0,3.0,53.0,30.0,1.8,CharacterType.ARCHER,67.72933050435351
18.0,5.0,10.0,75.0,40.0,1.7,CharacterType.ARCHER,66.19764992476212
7.0,47.0,18.0,20.0,56.0,2.0,CharacterType.ARCHER,63.290120069729845
5.0,39.0,26.0,22.0,56.0,1.4,CharacterType.ARCHER,60.05270951913368
3.0,45.0,45.0,28.0,26.0,1.5,CharacterType.ARCHER,54.90768843677079
12.0,55.0,5.0,47.0,30.0,1.5,CharacterType.ARCHER,53.35652957477105
2.0,8.0,57.0,23.0,57.0,1.6,CharacterType.ARCHER,53.19435286604679
7.0,12.0,17.0,27.0,85.0,1.9,CharacterType.ARCHER,51.09773811763017
4.0,20.0,27.0,11.0,85.0,1.9,CharacterType.ARCHER,49.03990635604251
2.0,36.0,67.0,41.0,2.0,1.6,CharacterType.ARCHER,41.41378187216478
6.0,54.0,9.0,30.0,51.0,1.8,CharacterType.ARCHER,37.33879137186901
2.0,7.0,26.0,50.0,63.0,1.5,CharacterType.ARCHER,28.838140824762554
8.0,4.0,10.0,116.0,10.0,1.6,CharacterType.ARCHER,28.404539122471302
7.0,9.0,9.0,79.0,43.0,1.9,CharacterType.ARCHER,28.382870661084663
6.0,76.0,3.0,3.0,60.0,1.9,CharacterType.ARCHER,28.35655402413921
5.0,35.0,8.0,51.0,49.0,1.4,CharacterType.ARCHER,26.351234404171564
1.0,57.0,36.0,1.0,51.0,2.0,CharacterType.ARCHER,23.748302860276652
3.0,13.0,13.0,60.0,60.0,1.6,CharacterType.ARCHER,22.44941584540917
5.0,34.0,5.0,56.0,48.0,1.8,CharacterType.ARCHER,20.498502558103947
4.0,4.0,8.0,95.0,37.0,1.6,CharacterType.ARCHER,15.91326396969399
2.0,47.0,8.0,30.0,62.0,1.8,CharacterType.ARCHER,14.060238048686841
2.0,56.0,9.0,71.0,9.0,1.9,CharacterType.ARCHER,12.502781315501336
2.0,44.0,6.0,90.0,8.0,1.9,CharacterType.ARCHER,9.314943545320945
