strength,agility,expertise,resistance,life,height,characterType,performance,generation
22,3,28,5,2,1.8,CharacterType.ARCHER,196.39807298348902,0
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,1
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,2
32.0,1.0,19.0,5.0,3.0,1.5,CharacterType.ARCHER,188.3399290369785,3
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,4
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,5
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,6
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,7
32.0,1.0,19.0,5.0,3.0,1.5,CharacterType.ARCHER,188.3399290369785,8
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,9
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,10
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,11
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,12
32.0,1.0,19.0,5.0,3.0,1.5,CharacterType.ARCHER,188.3399290369785,13
32.0,1.0,19.0,5.0,3.0,1.5,CharacterType.ARCHER,188.3399290369785,14
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,15
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,16
32.0,1.0,19.0,5.0,3.0,1.5,CharacterType.ARCHER,188.3399290369785,17
28.0,4.0,18.0,8.0,2.0,1.6,CharacterType.ARCHER,159.22003258563876,18
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,19
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,20
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,21
32.0,1.0,19.0,5.0,3.0,1.5,CharacterType.ARCHER,188.3399290369785,22
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,23
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,24
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,25
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,26
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,27
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,28
22.0,3.0,28.0,5.0,2.0,1.8,CharacterType.ARCHER,196.39807298348902,29
32.0,1.0,19.0,5.0,3.0,1.5,CharacterType.ARCHER,188.3399290369785,30
