strength,agility,expertise,resistance,life,height,characterType,performance
46,75,9,11,9,1.4,CharacterType.ARCHER,38.30516947082565
42,71,11,22,4,2.0,CharacterType.ARCHER,36.3587850196712
55,53,14,7,21,1.6,CharacterType.ARCHER,34.66418451680103
47,53,4,38,8,2.0,CharacterType.ARCHER,30.441350803137393
49,33,39,8,21,1.6,CharacterType.ARCHER,30.34581571501979
71,23,25,18,13,1.4,CharacterType.ARCHER,29.771616566694465
53,40,11,33,13,2.0,CharacterType.ARCHER,29.70082949296992
76,22,18,19,15,2.0,CharacterType.ARCHER,28.424494363966378
49,40,9,15,37,1.8,CharacterType.ARCHER,27.903531352765004
60,24,24,31,11,1.5,CharacterType.ARCHER,26.694093258850067
73,24,15,29,9,1.5,CharacterType.ARCHER,26.538245157833924
36,61,6,30,17,1.4,CharacterType.ARCHER,26.369199734092767
37,43,26,12,32,1.4,CharacterType.ARCHER,26.32473204884434
47,28,33,21,21,1.7,CharacterType.ARCHER,25.825344850406857
84,13,24,9,20,2.0,CharacterType.ARCHER,25.506562420275227
77,10,36,2,25,1.7,CharacterType.ARCHER,24.92583884976615
53,38,1,41,17,1.4,CharacterType.ARCHER,23.749496109357555
25,69,33,9,14,1.6,CharacterType.ARCHER,23.73360518730491
66,26,11,29,18,1.7,CharacterType.ARCHER,23.36011982568511
33,28,29,28,32,1.9,CharacterType.ARCHER,22.643095163390768
66,19,10,33,22,1.9,CharacterType.ARCHER,22.55943678298625
20,79,36,4,11,1.4,CharacterType.ARCHER,22.282278217835735
50,14,34,35,17,2.0,CharacterType.ARCHER,21.832601212598163
49,3,64,6,28,1.7,CharacterType.ARCHER,21.75063239843888
20,88,15,10,17,2.0,CharacterType.ARCHER,21.521538086862492
71,14,18,9,38,1.8,CharacterType.ARCHER,21.429275553759705
37,42,14,41,16,1.6,CharacterType.ARCHER,21.353557308930498
62,12,32,33,11,1.7,CharacterType.ARCHER,21.211880829614813
69,11,25,44,1,2.0,CharacterType.ARCHER,20.76345986409264
32,34,15,46,23,1.9,CharacterType.ARCHER,20.67595556459067
36,29,14,15,56,1.9,CharacterType.ARCHER,20.252827087106105
72,19,12,35,12,1.7,CharacterType.ARCHER,20.141543220440617
20,61,26,16,27,1.8,CharacterType.ARCHER,19.782137185362316
27,51,5,27,40,2.0,CharacterType.ARCHER,18.907366837833994
36,36,6,60,12,2.0,CharacterType.ARCHER,18.448374375445624
100,4,18,24,4,1.9,CharacterType.ARCHER,17.2173780273197
77,8,22,10,33,1.6,CharacterType.ARCHER,17.19378573276939
62,18,31,8,31,1.3,CharacterType.ARCHER,17.177517801639226
31,18,28,36,37,1.9,CharacterType.ARCHER,17.153166145842242
19,46,47,8,30,1.7,CharacterType.ARCHER,17.06250837299703
46,19,12,37,36,1.5,CharacterType.ARCHER,15.994950465941036
70,14,11,52,3,1.6,CharacterType.ARCHER,15.100707318068599
39,31,2,67,11,1.7,CharacterType.ARCHER,14.946223865451039
22,37,22,49,20,1.4,CharacterType.ARCHER,14.72130608345547
